 & Data Disk| (& Data Disk)
Lemmings Holiday 1994|Lemmings - Holiday Lemmings 1994
Lemmings Holiday Demo|Lemmings Holiday (Demo)
Lemmings New Year 9192|Lemmings - New Year Lemmings 91-92
Leonardo DOS|Leonardo (DOS)
Leonardo High Density|Leonardo (High Density)
Les Manley Search For The King|Les Manley In - Search For The King
Links & Data Disks|Links - The Challenge of Golf (& Data Disks)
Lionheart Demo (1MB)|Lionheart (Demo) (1MB)
Lionheart Demo 1|Lionheart (Demo 1)
Lionheart Demo 2|Lionheart (Demo 2)
Lionheart Demo|Lionheart (Demo)
Livingstone 2|Livingstone II
Llamatron (1MB)|Llamatron - 2112 (1MB)
Locomotion|Locomotion (Kingsoft)
Lombard RA CRally (2 Disk)|Lombard RAC Rally (2 Disk)
Lombard RA CRally (3 Disk)|Lombard RAC Rally (3 Disk)
Loom Kick 31|Loom (Kick 3.1)
Lords Of Chaos & Data Disk|Lords Of Chaos (& Data Disk)
Lost In Mine Pl|Lost In Mine (Polish)
Lothar Matthaus Fussball|Lothar Matthaus - Die Interaktive Fussballsimulation
Lotus|Lotus Esprit Turbo Challenge
Lotus 2|Lotus Turbo Challenge 2
Lotus 3|Lotus III - The Ultimate Challenge
Lupo Alberto|Lupo Alberto - The Videogame
M 1 Tank Platoon|M1 Tank Platoon
Magic Johnson Fst Brk Arcadia|Magic Johnson's Fast Break (Arcadia)
Magic Johnsons Basketball|Magic Johnson's Basketball
Magic Lines Cracked|Magic Lines (Cracked)
Magic Pockets Demo|Magic Pockets (Demo)
Manchester United Europe 23|Manchester United Europe (v2.3)
Manchester United PLC|Manchester United Premier League Champions
Manchester United The Double|Manchester United - The Double
Manchester Utd PLC & Data|Manchester United - Premier League Champions (& Data Disk)
Manhunter|Manhunter - New York
Manhunter 2|Manhunter 2 - San Francisco
Marias Xmas Box|Maria's Xmas Box
Marvins Marvellous Adv [AGA]|Marvin's Marvellous Adventure [AGA]
Marvins Marvellous Adv [CD32]|Marvin's Marvellous Adventure [CD32]
Mc Donald Land|McDonald Land
Mega Traveller 1|MegaTraveller 1 - The Zhodani Conspiracy
Mental (Image) 1|Mental Image Game Disk 1
Mental (Image) 2|Mental Image Game Disk 2
Mercenary 3|Mercenary III - The Dion Crisis
Mercenary|Mercenary - Escape from Targ and the Second City
MFTanks|MF Tanks
Mi G 29 Fulcrum|MiG-29 Fulcrum
Mi G 29 MSuper Fulcrum|MiG-29M Super Fulcrum
Mi G 29 Soviet Fighter|MIG 29 Soviet Fighter
Mickey Mouse Computer Game|Mickey Mouse - The Computer Game
Mickeys A BC s|Mickey's ABC's - A Day at the Fair
Mickeys A BCs|Mickey's ABC's - A Day at the Fair
Mickeys Jigsaw Puzzles|Mickey's Jigsaw Puzzles
Mickeys Memory Challenge|Mickey's Memory Challenge
Micro Prose Golf|MicroProse Golf
Micro Prose Soccer|MicroProse Soccer
Midwinter 2|Midwinter II - Flames of Freedom
Might & Magic 2|Might and Magic II - Gates to Another World
Might And Magic 3|Might and Magic III - Isles of Terra
Mighty Bomb Jack|Mighty BombJack
Mike Reads Computer Pop Quiz|Mike Read's Computer Pop Quiz
Millennium 22|Millennium 2.2
Moebius Goatlizard|Incredible Adventures of Moebius Goatlizard
Monkey Island 2|Monkey Island 2 - LeChuck's Revenge
Monty Pythons Fly Cir|Monty Python's Flying Circus
Moonstone|Moonstone - A Hard Days Knight
Mortal Kombat 22 MB|Mortal Kombat II (2MB)
Mortal Kombat Censored|Mortal Kombat (Censored)
Mouse Quest|MouseQuest
MPythons Flying Circus|Monty Python's Flying Circus
Mr Do Run Run (Files)|DO - Run Run (Files)
Mr Do Run Run (Image)|DO - Run Run (Image)
MUDS|M.U.D.S. (Mean Ugly Dirty Sport)
Myth History In Making [CD32]|Myth - History In Making [CD32]
Myth History In The Making|Myth - History In The Making
Myth Magnetic Scrolls|Myth (Magnetic Scrolls)
Myth System 3|Myth - History In The Making
Nam 19651975|Nam 1965-1975
Nebulus 2|Nebulus 2 - Pogo A Go Go
Never Ending Story 2|Neverending Story II
New Year Lemmings 199192|New Year Lemmings 1991-92
New Zealand Story Demo|New Zealand Story (Demo)
Nick Faldos Champ Golf [CD32]|Nick Faldo's Championship Golf [CD32]
Nick Faldos Champ Golf|Nick Faldo's Championship Golf
Nigel Mansells Grand Prix|Nigel Mansell's Grand Prix
Nigel Mansells Wrld Chmp|Nigel Mansell's World Championship
Nigel Mansells Wrld Chmp [AGA]|Nigel Mansell's World Championship [AGA]
Nigel Mansells Wrld Chmp [CD32]|Nigel Mansell's World Championship [CD32]
Night Hawk F 117 A|NightHawk F-117A Stealth Fighter
Nightbreed Action|Nightbreed - The Action Game
Nightbreed Movie|Nightbreed - The Interactive Movie
Ninja Mission Arcadia|Ninja Mission (Arcadia)
North And South (Image)|North & South (Image)
Nova 9|Nova 9 - The Return of Gir Draxon
Nuxelia Demo|Nuxelia (Demo)
Oh No More Lemmings|Oh No! More Lemmings
on Escapee|onEscapee
Ooze|Ooze - Creepy Nites
Operation Cleanstreets|Operation - Cleanstreets
Operation Combat 2|Operation Combat II
Operation G 2 Demo|Operation GII (Demo)
Ork Attack The Return|Ork Attack - The Return
Ork Demo|Ork (Demo)
Os WA LDOf The Ice Floes|OsWALD - Of The Ice Floes
Out Run Sega|Out Run (Sega)
Out Run USGold|Out Run (US Gold)
Overdrive Infacto|Overdrive (Infacto)
Overdrive Team 17|Overdrive (Team 17)
Overlander|Overlander (Elite)
Overlord Demo Rowan|Overlord (Rowan)(Demo) 
Overlord Rowan|Overlord (Rowan)
P 47 Thunderbolt|P47 Thunderbolt
Pac Land|Pac-Land
Pac Mania|Pac-Mania
Paradroid 901 MB|Paradroid 90 (1MB)
Parasol Stars|Parasol Stars - The Story of Rainbow Islands II
Penthouse Hot Nums Dlx [AGA] (Deutsch)|Penthouse Hot Numbers Deluxe [AGA] (Deutsch)
Penthouse Hot Nums Dlx [AGA] De|Penthouse Hot Numbers Deluxe [AGA] (Deutsch)
Perihelion|Perihelion - The Prophecy
Peter Beardsleys IF|Peter Beardsley's International Football
Peter Beardsleys IFCracked|Peter Beardsley's International Football (Cracked)
PGA Tour Golf & Tour Disk|PGA Tour Golf (& Tour Disk)
Phantasie 3|Phantasie III - The Wrath of Nikademus
Pharaohs Curse|Pharaoh's Curse
Pharaohs Match Arcadia|Pharaoh's Match (Arcadia)
Pick NPile|Pick'n' Pile
Pierre Is Out To Lunch [AGA]|Pierre Le Chef Is Out To Lunch [AGA]
Pinball Fntsies [AGA]|Pinball Fantasies [AGA]
Pinball Fntsies [CD32] (Chip)|Pinball Fantasies [CD32] (Chip)
Pinball Fntsies [CD32]|Pinball Fantasies [CD32]
Pinball Fntsies|Pinball Fantasies
Pinball Illusions [AGA] Demo|Pinball Illusions (Demo) [AGA]
Pipeline Nomad|Pipeline (Nomad)
Pipeline Oracle|Pipeline (Oracle)
Pit Fighter|Pit-Fighter
Police Quest|Police Quest - In Pursuit of the Death Angel
Police Quest 2|Police Quest II - The Vengeance
Police Quest 3|Police Quest III - The Kindred
Populous & Data Disks|Populous (& Data Disks)
Populous 2 & Challenge Games|Populous 2 (& Challenge Games)
Populous World Editor|Populous - World Editor
POW|P.O.W
Powermonger WW 1 Edition|Powermonger - WW1 Edition
Powerplay|Powerplay - The Game of the Gods
PPHammer|P.P. Hammer
Premier Manager 3 Deluxe|Premier Manager 3 (Deluxe)
Pro Power Boat Simulator|Pro Powerboat Simulator
Pro Soccer 2190|ProSoccer 2190 
Project X|Project-X
Project XBonus Level|Project-X (Bonus Level)
Project XSE|Project-X Special Edition
Project XSECD32|Project X - Special Edition [CD32]
Project Xv 2|Project-X (v2)
Prophecy 1 Viking Child|Prophecy I - Viking Child
Puffys Saga|Puffy's Saga
Pulsator Demo [AGA]|Pulsator (Demo) [AGA]
Pulsator Demo|Pulsator (Demo)
Putty Squad Demo [AGA]|Putty Squad (Demo) [AGA]
QBic|Q-Bic
Quest For Glory|Quest For Glory - So You Want To Be A Hero
Quest For Glory 2|Quest For Glory II - Trial by Fire
Quest For Time Bird (Image)|Quest For The Time-Bird (Image)
Questron 2|Questron II
Quik Thunder Rabbit [AGA]|Quik - The Thunder Rabbit [AGA]
Quik Thunder Rabbit [CD32]|Quik - The Thunder Rabbit [CD32]
Quik Thunder Rabbit|Quik - The Thunder Rabbit
Race Drivin|Race Drivin'
Rackneys Island|Rackney's Island
Rage CA D|Rage (CAD)
Rage V 1|Rage (CAD)
Rage V 2|Rage (v2.0)
Raiders 01|Raiders-01
Rambo 3|Rambo III
Ran X|Ranx - The Video Game
RBI 2 Baseball|R.B.I. Two Baseball
Realms Of Arkania|Realms of Arkania - Blade of Destiny
Renegade 3|Renegade III
Return Of The Jedi|Star Wars - Return Of The Jedi
Revenge Of Mutant Camels|Revenge Of The Mutant Camels
Revenge Of Mutant Camels 2|Revenge Of The Mutant Camels II
Rick Dangerous 25|Rick Dangerous 2.5
Road Wars Arcadia|Road Wars (Arcadia)
Roadkill [CD32] No Intro|Roadkill [CD32] (No Intro
Robin Hood Legend Quest|Robin Hood - Legend Quest
Robinsons Requiem [AGA]|Robinson's Requiem [AGA]
Robinsons Requiem|Robinson's Requiem
Robo Cop 2|RoboCop 2
Robo Cop 3|RoboCop 3
Robo Cop|RoboCop
Robo Sport|RoboSport
Robot Reader Aesops Fables|Robot Readers - Aesop's Fables
Robot Reader Chicken Little|Robot Readers - Chicken Little
Rock NRoll|Rock 'n' Roll
Rockstar NTRT|Rockstar - Never Trust Rotten Tangerines
Rod Land|Rod-Land
Rogue|Rogue - The Adventure Game
Rolling Ronny|Rolling Ronny - The Errand-Boy
Rome A D 92|Rome AD92
RType 2|R-Type II
RType|R-Type
Ruff NTumble|Ruff 'N' Tumble
Ruff & Reddy Space Adventure|Ruff and Reddy in the 'Space Adventure'
Rugby The World Cup|Rugby - The World Cup
RVFHonda|RVF Honda
SA SCombat Simulator QArcade|SAS Combat Simulator (Quattro Arcade)
SA SCombat Simulator QFight|SAS Combat Simulator (Quattro Fighters)
Salmon Pink Max|Salmon-Pink Max
Santas Xmas Caper|Santa's Xmas Caper
SDICinemaware|SDI (Cinemaware)
Sensible Soccer 9293|Sensible Soccer - European Champions (92-93 Edition)
Sensible Soccer 92931 MB|Sensible Soccer - European Champions (92-93 Edition) (1MB)
Sensible Soccer Bulldog Blty|Sensible Soccer 92-93 Meets Bulldog Blighty
Sensible Soccer Euro (1MB)|Sensible Soccer - European Champions (1MB)
Sensible Soccer Euro|Sensible Soccer - European Champions
Sensible Soccer Int Ed (1MB)|Sensible Soccer - International Edition (1MB)
Sensible Soccer Int Ed|Sensible Soccer - International Edition
Sensible Soccer Intl Ed [CD32]|Sensible Soccer - International Edition [CD32]
Sensible World Of Soccer 11|Sensible World Of Soccer (v1.1)
Sensible World Of Soccer 1617|Sensible World Of Soccer 16-17
Sensible World Of Soccer 9596|Sensible World Of Soccer 95-96
Sensible World Of Soccer 9697|Sensible World Of Soccer 96-97
Sensible World Of Soccer 9798|Sensible World Of Soccer 97-98
Sensible World Of Soccer Euro|Sensible World Of Soccer 95-96 - European Championship Edition
Sensible World Of Soccer WC 98|Sensible World Of Soccer - World Cup 98
Shadow Of The Beast 2|Shadow Of The Beast II
Shadow Of The Beast 2 Demo|Shadow Of The Beast II (Demo)
Shadow Of The Beast 3|Shadow Of The Beast III
Shadow Of The Beast Demo|Shadow Of The Beast (Demo)
Sharkeys Moll|Sharkey's Moll
She Fox|She-Fox
Sherman M 4|Sherman M4
Shock Wave|ShockWave
Shuttle|Shuttle - The Space Flight Simulator
Side Arms|Side Arms - Hyper Dyne
Side Show|Sideshow
Side Winder 2|SideWinder II
Side Winder Arcadia|SideWinder (Arcadia)
Side Winder|SideWinder
Silent Service|Silent Service - The Submarine Simulation
Silent Service 2|Silent Service II
Sim Ant Hi Res|SimAnt (HiRes)
Sim Ant Lo Res|SimAnt (LoRes)
Sim City 12|Sim City (v1.2)
Sim Earth Hi Res|Sim Earth (HiRes)
Sim Earth Lo Res|Sim Earth (LoRes)
Sinbad|Sinbad and the Throne of the Falcon
Sir Fred The Legend|Sir Fred - The Legend
Skaermtrolden Hugo Dk|Skaermtrolden Hugo (Danish)
Sky Chase|SkyChase
Skyfox 2|Skyfox II - The Cygnus Conflict
Slam Tilt Demo [AGA]|Slam Tilt (Demo) [AGA]
Sleepwalker [AGA] Comic Relief|Sleepwalker (Comic Relief) [AGA]
Sleepwalker Comic Relief|Sleepwalker (Comic Relief)
Sly Spy Secret Agent|Sly Spy - Secret Agent
Solomons Key 2|Solomon's Key 2
Son Shu Shi|Son Shu-Shi
Sootys Fun With Numbers|Sooty's Fun With Numbers
Sorcerors Apprentice|Sorceror's Apprentice
Sorcery +|Sorcery+
Sorcery Plus|Sorcery+
Space Ace Demo|Space Ace (Demo)
Space Ace 2|Space Ace II - Borf's Revenge
Space Crusade & Voyage Beyond|Space Crusade (& The Voyage Beyond)
Space Harrier & Retrn Fnt Zone|Space Harrier (& Return to the Fantasy Zone)
Space Harrier & RFantasy Zone|Space Harrier (& Return to the Fantasy Zone)
Space Harrier 2|Space Harrier II
Space Quest Enhanced|Space Quest I - Roger Wilco in the Sarien Encounter (Enhanced)
Space Quest 2|Space Quest II - Vohaul's Revenge
Space Quest 3|Space Quest III - The Pirates of Pestulon
Space Quest 4|Space Quest IV - Roger Wilco and the Time Rippers
Space Ranger Arcadia|Space Ranger (Arcadia)
Speedball 2|Speedball 2 - Brutal Deluxe
Speedboat Assassins|Speedboat Assassin
Spell Bound|Spell Bound (Psyclapse)
SpellBound|SpellBound (Pygnosis)
Spider Man|Spider-Man
Spitting (Image)|Spitting Image
Spot Arcadia|Spot (Arcadia)
Spy Vs Spy 2 The Island Caper|Spy vs. Spy 2 - The Island Caper
Spy Vs Spy 3 Arctic Antics|Spy vs. Spy 3 - Arctic Antics
Spy Vs Spy|Spy vs. Spy
Star Ray (2 Disk)|StarRay (2 Disk)
Star Trek 25th Anniv [AGA]|Star Trek - 25th Anniversary [AGA]
Stormlord Prerelease|Stormlord (Pre-release)
Street Fighter 2|Street Fighter II - The World Warrior
Street Racer [CD32]|Street Racer (AmigaCD)
Strider 2|Strider II
Strip Poker 2 + & Data Disk 1|Strip Poker II+ (& Data Disk 1)
Strip Poker 2 +|Strip Poker II+
Strip Poker|Strip Poker (Artworx)
STUNRunner|S.T.U.N. Runner
Stunt Car Racer TNT|Stunt Car Racer - The New Tracks
Subtrade|Sub Trade - Return To Irata
Summer Games & Summer Games 2|Summer Games & Summer Games II
Super Cars 2|Super Cars II
Super Hang On|Super Hang-On
Super Off Road|Ivan 'Ironman' Stewart's Super Off Road
Super Seymour Saves Planet|Super Seymour Saves the Planet
Super Seymour Saves the Planet|Super Seymour
Super Ski 2|Super Ski II
Super Street Fighter 2 DXAGA|Super Street Fighter 2 (DX) [AGA]
Super Street Fighter 2|Super Street Fighter 2 - The New Challengers
Superfrog Demo Amiga Action|Superfrog (Demo) Amiga Action
Superfrog Demo CUAmiga|Superfrog (CU Amiga Demo)
Superfrog Demo The One|Superfrog (The One Demo) 
Superhero Demo|Superhero (Demo)
Supr Strt Ftr 2 Trbo [AGA]|Super Street Fighter 2 Turbo [AGA]
Supr Strt Ftr 2 Trbo [CD32]|Super Street Fighter 2 Turbo [CD32]
Supr Tennis Chmps & Data Disks|Super Tennis Champs (& Data Disks)
Supr Tennis Chmps|Super Tennis Champs
Supremacy|Supremacy - Your Will Be Done
Switchblade 2|Switchblade II
T-Zer 0 Demo [AGA]|T-Zer0 (Demo) [AGA]
T-Zer 0 Demo|T-Zer0 (Demo)
Table Hockey Arcadia|Table Hockey (Arcadia)
Take Em Out|Take 'Em Out
TBird|T-Bird
Teenage Mtnt Hero Turtles COp|Teenage Mutant Hero Turtles - The Coin-Op
Teenage Mtnt Hero Turtles|Teenage Mutant Hero Turtles
Teenage Mtnt Ninja Turtles|Teenage Mutant Ninja Turtles
Ten Pin Bowling Arcadia|Ten Pin Bowling (Arcadia)
Tennis Cup 1 Mb|Tennis Cup (1MB)
Tennis Cup 2|Tennis Cup II
Tensai Demo|Tensai (Demo)
Terminator 2 Arcade|Terminator 2 - The Arcade Game
Terminator 2 Arcade Game|Terminator 2 - The Arcade Game
Terminator 2 Judgment Day|Terminator 2 - Judgment Day
Terrys Big Adventure|Terry's Big Adventure
Test Drive 2 & Data Disks|Test Drive II - The Duel (& Data Disks)
Tetris Infogrames|Tetris (Infogrames)
Tetris Mirrorsoft|Tetris (Mirrorsoft)
Their Finest Hour & Missions|Their Finest Hour - The Battle of Britain (& Missions)
Theme Park Mystery|Theme Park Mystery - Variations on a Theme
Thomas Tank Eng Pinball [AGA]|Thomas The Tank Engine's Pinball [AGA]
Thomas Tank Eng Pinball [CD32]|Thomas The Tank Engine's Pinball [CD32]
Thunder Cats|ThunderCats
Thunder Hawk A H 73 M|ThunderHawk AH-73M
Thunder Strike|ThunderStrike
Tie Break|Tie-Break
Time And Magik|Time And Magik - The Trilogy
Time Runners 01|Time Runners 01 - Gateways In Time
Time Runners 02|Time Runners 02 - The Space Stone
Time Runners 03|Time Runners 03 - The Big Run
Time Runners 04|Time Runners 04 - The Castle Of Fear
Time Runners 05|Time Runners 05 - The Black Knight
Time Runners 06|Time Runners 06 - The Bewitched Forest
Time Runners 07|Time Runners 07 - In The Land Of The Invaders
Time Runners 08|Time Runners 08 - The Impregnable Fortress
Time Runners 09|Time Runners 09 - The Time Demon
Time Runners 10|Time Runners 10 - The Time Sentry
Time Runners 11|Time Runners 11 - The Steel City
Time Runners 12|Time Runners 12 - A Target For The Cyborg
Time Runners 13|Time Runners 13 - Cyberkiller
Time Runners 14|Time Runners 14 - Toraxid - War Star
Time Runners 15|Time Runners 15 - At The Speed Of Light
Time Runners 16|Time Runners 16 - The Galaxy Emperor
Time Runners 17|Time Runners 17 - The Living Labyrinth
Time Runners 18|Time Runners 18 - The Killer Shadow
Time Runners 19|Time Runners 19 - The Nightmare Prince
Time Runners 20|Time Runners 20 - The Mountains Of Death
Time Runners 21|Time Runners 21 - The Black Dragon's Course
Time Runners 22|Time Runners 22 - The Eternal Damned
Time Runners 23|Time Runners 23 - The Time Monarch
Time Runners 24|Time Runners 24 - Beyond All Dimensions
Time Runners 25|Time Runners 25 - The Lost Planet Earth
Time Runners 26|Time Runners 26 - The Time Warrior
Time Runners 27|Time Runners 27 - Red Night
Time Runners 28|Time Runners 28 - Beyond The End
Time Runners 29|Time Runners 29 - The Last Revelation
Time Runners 30|Time Runners 30 - The Final Duel
Time Runners Series|Time Runners (Series)
Titus The Fox|Titus the Fox - To Marrakech and Back
Tom Landry Football Deluxe|Tom Landry Strategy Football Deluxe
Tom Landry Football|Tom Landry Strategy Football
Toobin|Toobin'
Toyota Celica GT Rally|Toyota Celica GT Rally
Toyota Celica GTRally|Toyota Celica GT Rally
TRacer|T-Racer
Traps NTreasures|Traps 'n' Treasures
Treasures Of Savage Frontier|Treasures Of The Savage Frontier
Trex Warrior|Trex Warrior - 22nd Century Gladiator
Trian GO|TrianGo
Triple X|Tripple X
Trivial Pursuit New Begin|Trivial Pursuit - A New Beginning
Tubular Worlds ECS|Tubular Worlds
Turbo Trax Arcane|Turbo Trax (Arcane)
Turn NBurn|Turn 'n' Burn
Turrican 2|Turrican II - The Final Fight
Turrican 2 Demo|Turrican 2 (Demo)
Turrican 3 Demo|Turrican 3 (Demo)
Turrican Demo|Turrican (Demo)
TVSports Baseball|TV Sports Baseball
TVSports Basketball|TV Sports Basketball
TVSports Boxing|TV Sports Boxing
TVSports Football|TV Sports Football
Twin World|TwinWorld - Land of Vision
Typhoon Thompson|Typhoon Thompson in Search for the Sea Child
TZer 0 Demo [AGA]|T-Zer0 (Demo) [AGA]
UFO Enemy Unknown|UFO - Enemy Unknown
UFOEnemy Unknown [AGA]|UFO - Enemy Unknown [AGA]
UFOEnemy Unknown [CD32]|UFO - Enemy Unknown [CD32]
Ultima 3|Ultima III - Exodus
Ultima 4|Ultima IV - Quest of the Avatar
Ultima 5|Ultima V - Warriors of Destiny
Ultima 6|Ultima VI - The False Prophet
Ultimate Golf|Greg Norman's Ultimate Golf
UMS 2 Nations At War|UMS II - Nations At War
Universal Military Sim|UMS (Universal Military Simulator)
UNSquadron Earok|U.N. Squadron (Hack by Earok)
UNSquadron|U.N. Squadron
Untouchables SE|Untouchables Special Edition (Hack by Earok)
Up Scope Arcadia|Up Scope (Arcadia)
Uridium 22 MB|Uridium 2 (2MB)
USSJohn Young|USS John Young
Utopia & New Worlds|Utopia (& New Worlds)
Valhalla Before The War|Valhalla - Before The War
Valhalla Lord Of Infinity|Valhalla and the Lord Of Infinity
Vampires Empire|Vampire's Empire
Venus The Flytrap No Intro|Venus The Flytrap (No Intro)
Virtual Karting 2 Demo [AGA]|Virtual Karting 2 (Demo) [AGA]
Virtual Karting Demo [AGA]|Virtual Karting (Demo) [AGA]
Viz|Viz - The Game
Vroom & Data Disk|Vroom (& Data Disk)
Vroom Multi Player|Vroom (Multi Player)
Walker Decrunched|Walker (Decrunched)
Wanderer 3 D|Wanderer 3D
War Zone Core Design|War Zone (Core Design)
War Zone Core|War Zone (Core Design)
War Zone Paradox|War Zone (Paradox)
Way Of The Little Dragon A Star|Way Of The Little Dragon (Amiga Star Collection)
WCLeader Board & Data Disks|World Class Leader Board (& Data Disks)
WCLeader Board|World Class Leader Board
Ween The Prophecy|Ween - The Prophecy
Wembley Int Soccer [AGA]|Wembley International Soccer [AGA]
Wembley Int Soccer|Wembley International Soccer
West Phaser|Westphaser
Whirligig Cracked|Whirligig (Cracked)
Wibble World Giddy|Wibble World Giddy - Wibble Mania
WIEurope Is Carmen Sandiego|Where in Europe is Carmen Sandiego
Winnie The Pooh|Winnie the Pooh in the Hundred Acre Wood
WITUSA Is Carmen Sandiego|Where in the USA is Carmen Sandiego
WITWIs Carmen Sandiego|Where in The World is Carmen Sandiego
Wiz NLiz|Wiz 'n' Liz
Wizardry 6 Bane Cosmic Forg|Wizardry - Bane of the Cosmic Forge 
Wonderland|Wonderland - Dream the Dream
Woodys World|Woody's World
World Champ Boxing Manager|World Championship Boxing Manager
World Class Rugby 5 Nations|World Class Rugby - 5 Nations
World Class Rugby 95|World Class Rugby '95
World Darts Arcadia|World Darts (Arcadia)
World Trophy Soccer Arcadia|World Trophy Soccer (Arcadia)
Worlds Of Legend|Worlds of Legend - Son of the Empire
Worms [CD32]1 MB|Worms [CD32] (1 MB)
Worms [CD32]2 MB|Worms [CD32] (2 MB)
Worms Directors Cut [AGA]|Worms - The Director's Cut [AGA]
Wrath Of The Demon|Wrath Of The Demon
WWFEuropean Rampage Tour|WWF European Rampage Tour
WWFWrestle Mania|WWF Wrestle Mania
Xenon 2 Demo|Xenon 2 (Demo)
Xenon 21 Disk|Xenon 2 - Megablast (1 Disk)
Xenon 22 Disk|Xenon 2 - Megablast (2 Disk)
Xenon Arcadia|Xenon (Arcadia)
XIt|X-It
Xmas Lemmings Demo 1991|Xmas Lemmings (1991 Demo)
Xmas Lemmings Demo 1992|Xmas Lemmings (1992 Demo)
XOut (2 Disk)|X-Out (2 Disk)
XOut|X-Out
XP 8 [AGA]|XP8 [AGA]
XP 8|XP8
XR 35|XR35
XR35|XR-35 Fighter Mission
XTreme Racing & Data Disks [AGA]|XTreme Racing (& Data Disks) [AGA]
Yo Joe|Yo! Joe!
Yo Joe Demo|Yo Joe (Demo)
Yogi Bear & Friends|Yogi Bear And Friends In The Greed Monster
Yogis Big Clean Up|Yogi's Big Clean Up
Yogis Great Escape|Yogi's Great Escape
Zak Mc Kracken|Zak McKracken and the Alien Mindbenders
Zeewolf 2|Zeewolf 2 - Wild Justice
Zombie Apocalypse 2 [AGA]|Zombie Apocalypse II [AGA]
Zool|Zool - Ninja Of The 'Nth' Dimension
Zool [AGA]|Zool - Ninja Of The 'Nth' Dimension [AGA]
ZOut|Z-Out
